billing_code,procedure_name,count,min,Q1,median,Q3,max,range,IQR,mean,std,10th_percentile,90th_percentile
44389,Biopsies of large bowel using an endoscope which is inserted through abdominal opening,367,268.37,367.4,526.86,2142.0,5398.0,5129.63,1774.6,1183.38,1195.24,309.65,2323.0
44394,Removal of large bowel polyps or growths using an endoscope,367,284.08,437.1,627.34,2142.0,5398.0,5113.92,1704.9,1226.64,1169.33,327.79,2323.0
45378,Diagnostic examination of large bowel using an endoscope,367,220.97,341.13,486.88,2142.0,5398.0,5177.03,1800.87,1161.35,1206.9,254.97,2323.0
45379,Removal of foreign bodies in large bowel using an endoscope,367,285.02,438.49,621.62,2142.0,5398.0,5112.98,1703.51,1227.17,1169.0,328.87,2323.0
45380,Biopsy of large bowel using an endoscope,367,284.55,426.5,617.1,2142.0,5398.0,5113.45,1715.5,1215.05,1176.33,328.33,2323.0
45381,Injections of large bowel using an endoscope,367,282.44,415.54,619.45,2142.0,5398.0,5115.56,1726.46,1215.24,1176.23,325.89,2323.0
45382,Control of bleeding in large bowel using an endoscope,367,340.0,564.89,801.82,2142.0,5398.0,5058.0,1577.11,1342.54,1114.51,519.47,2329.66
45384,Removal of polyps or growths in large bowel using an endoscope,367,317.39,429.18,617.58,2142.0,5398.0,5080.61,1712.82,1228.59,1170.14,366.22,2323.0
45385,Removal of polyps or growths of large bowel using an endoscope,367,297.22,458.5,649.81,2142.0,5398.0,5100.78,1683.5,1241.84,1160.8,342.95,2323.0
45386,Balloon dilation of large bowel using an endoscope,367,340.0,581.67,869.59,2142.0,5398.0,5058.0,1560.33,1340.83,1109.52,471.24,2323.0
45388,Destruction of large bowel growths using an endoscope,365,340.0,538.45,2142.0,2323.0,9646.86,9306.86,1784.55,1929.17,1555.07,485.97,3464.03
45390,Removal of large bowel tissue using an endoscope,365,224.97,303.58,465.77,2142.0,5398.0,5173.03,1838.42,1150.53,1218.35,261.06,2323.0
45391,Ultrasound examination of lower large bowel using an endoscope,367,174.3,267.09,362.65,2142.0,5398.0,5223.7,1874.91,1105.3,1240.93,202.89,2323.0
45392,Ultrasound guided needle aspiration or biopsy of lower large bowel using an endoscope,367,205.97,329.46,444.91,2142.0,5398.0,5192.03,1812.54,1148.07,1214.74,239.56,2323.0
45398,Tying of large bowel using an endoscope,365,340.0,636.88,977.13,2142.0,5398.0,5058.0,1505.12,1416.93,1084.31,605.49,2603.12
47562,Removal of gallbladder using an endoscope,368,450.16,632.58,878.43,6443.0,14886.0,14435.84,5810.42,3178.92,3467.48,519.42,6987.0
47563,Gallbladder removal with use of an x-ray exam of the bile ducts,368,490.04,641.17,954.57,6443.0,14886.0,14395.96,5801.83,3203.3,3451.82,565.43,6987.0
49505,Repair of groin hernia patient age 5 years or older,368,355.86,464.1,694.18,3428.0,10677.0,10321.14,2963.9,1965.38,2187.95,410.61,4390.7
49650,Inguinal hernia repair done by laparoscope,368,293.23,381.7,571.52,6443.0,14886.0,14592.77,6061.3,2938.05,3506.02,338.34,6987.0
50590,Surgical procedures on the kidney to break up and remove kidney stones,369,496.61,739.5,1063.58,6443.0,14886.0,14389.39,5703.5,3179.19,3340.99,573.02,6987.0
51741,A diagnostic test used to measure the flow of urine,367,9.62,20.54,47.72,963.0,2866.0,2856.38,942.46,414.81,599.15,11.1,1201.0
51798,Ultrasound of bladder to measure urine capacity,367,6.81,16.25,24.92,963.0,2866.0,2859.19,946.75,407.3,603.61,8.17,1201.0
52000,Procedure on the bladder,367,127.71,186.56,274.93,1554.0,4419.0,4291.29,1367.44,746.63,794.18,162.14,1736.0
52310,Removing an indwelling ureteral stent by cystoscopy,367,185.56,223.58,345.87,2142.0,5398.0,5212.44,1918.42,1099.7,1245.91,207.59,2323.0
52332,Ureteral stents inserted internally between the bladder and the kidney and will remain within the patient for a defined period of time,368,122.46,413.5,580.39,2687.0,9335.0,9212.54,2273.5,1629.02,1888.34,350.52,3403.4
55250,Removal of sperm duct(s),368,242.09,363.02,504.31,2687.0,9335.0,9092.91,2323.98,1590.07,1909.54,285.5,3403.4
55700,Biopsy of prostate gland,367,166.22,201.88,311.88,2142.0,5398.0,5231.78,1940.12,1076.7,1259.4,191.91,2323.0
55866,Surgical removal of prostate and surrounding lymph nodes using an endoscope,367,950.0,1504.58,2086.8,6646.0,19299.0,18349.0,5141.42,4388.61,4232.17,1128.44,9834.0
57022,Incision and drainage of vaginal blood accumulation following delivery,367,119.64,153.48,234.99,2142.0,5398.0,5278.36,1988.52,1035.33,1284.71,138.05,2323.0
57288,Replacement of sling to support the bladder,369,497.08,648.22,981.45,5153.0,16448.0,15950.92,4504.78,2753.92,3195.81,573.56,5589.0
57454,Biopsy of cervix or uterus,368,79.0,140.0,202.0,963.0,2866.0,2787.0,823.0,499.57,549.29,127.49,1201.0
58100,Biopsy of the lining of the uterus,367,65.68,97.46,146.21,963.0,2866.0,2800.32,865.54,463.65,568.32,75.79,1201.0
58558,Surgical hysteroscopy with biopsy,369,220.74,345.24,1150.0,2750.0,9335.0,9114.26,2404.76,1846.37,1845.17,344.39,3848.4
58563,Surgical procedure used to treat premenopausal abnormal uterine bleeding,369,284.96,1505.21,2185.97,3509.0,10677.0,10392.04,2003.79,2733.36,1806.17,1416.2,4188.48
58565,Laparoscopic/Hysteroscopic Procedures on the uterus,369,550.0,1732.31,2400.0,5153.0,12577.0,12027.0,3420.69,3375.66,2340.59,1398.02,5589.0
58571,Laparoscopic hysterectomy,369,608.27,919.57,1310.61,6443.0,14886.0,14277.73,5523.43,3336.46,3322.22,701.85,6987.0
58661,"Removal of either benign or malignant tissue from the uterus, ovaries, fallopian tubes, or any of the surrounding tissues using a laparoscope",369,442.42,588.17,879.36,6443.0,14886.0,14443.58,5854.83,3137.08,3459.86,510.49,6987.0
58662,"Removal of lesions of the ovary, pelvic viscera, or peritoneal surface",369,483.94,644.54,962.08,6443.0,14886.0,14402.06,5798.46,3123.11,3387.56,558.4,6987.0
58671,Laparoscopic tubal sterilization is surgery to block the fallopian tubes to prevent pregnancy,369,250.3,334.22,497.72,6443.0,14886.0,14635.7,6108.78,2907.38,3537.05,288.81,6987.0
59000,Removal of amniotic fluid from the uterus for diagnostic purposes,368,81.4,116.41,169.2,1554.0,4419.0,4337.6,1437.59,692.97,827.77,94.97,1736.0
59025,A common prenatal test used to check on a baby's health.,368,32.14,41.82,63.92,963.0,2866.0,2833.86,921.18,428.24,589.71,37.08,1201.0
59400,Obstetrical pre- and postpartum care and vaginal delivery,367,193.0,1665.44,1949.02,2865.11,8097.0,7904.0,1199.67,2390.26,1396.55,1274.0,3487.93
59409,Vaginal delivery,369,551.97,750.53,1126.11,2738.13,9335.0,8783.03,1987.6,1869.77,1760.73,636.89,3350.6
59410,Vaginal delivery with post-delivery care,367,193.0,886.19,1088.32,2666.0,8097.0,7904.0,1779.81,1697.88,1398.36,809.26,2892.0
59414,Vaginal delivery of placenta,369,62.4,84.55,126.43,2666.0,9335.0,9272.6,2581.45,1403.68,2023.42,72.0,3350.6
59425,Pre-delivery care 4-6 visits,367,193.0,402.24,610.0,2666.0,8097.0,7904.0,2263.76,1332.18,1538.16,365.95,2750.0
59426,Pre-delivery care 7 or more visits,367,193.0,710.18,930.85,2666.0,8097.0,7904.0,1955.82,1573.86,1440.88,644.2,2799.81
59510,Cesarean delivery with pre- and post-delivery care,367,193.0,1847.06,2116.19,2892.0,8097.0,7904.0,1044.94,2541.92,1438.94,1274.0,3878.3
59514,Cesarean delivery,367,193.0,820.61,1073.53,2666.0,8097.0,7904.0,1845.39,1628.24,1416.11,719.72,2892.0
59515,Cesarean delivery with post-delivery care,367,193.0,1039.36,1274.0,2666.0,8097.0,7904.0,1626.64,1842.95,1367.27,981.25,2892.0
59610,Vaginal delivery after prior cesarean delivery,367,193.0,1752.33,2057.89,2892.0,8097.0,7904.0,1139.67,2458.91,1414.4,1274.0,3656.59
59612,Vaginal delivery after prior cesarean delivery,369,623.75,835.98,1263.83,2750.0,9335.0,8711.25,1914.02,1936.27,1730.04,719.72,3350.6
59614,Vaginal delivery after prior cesarean delivery with post-delivery care,367,193.0,962.54,1179.92,2666.0,8097.0,7904.0,1703.46,1759.28,1382.4,884.94,2892.0
62322,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,365,100.17,135.71,208.22,1554.0,4419.0,4318.83,1418.29,710.36,819.15,116.49,1736.0
62323,Injection of substance into spinal canal of lower back or sacrum using imaging guidance,365,171.01,212.29,325.71,1554.0,4419.0,4247.99,1341.71,772.9,780.68,197.32,1736.0
63030,Surgical procedure to decompress a herniated vertebra,368,640.0,860.25,1306.59,6443.0,14886.0,14246.0,5582.75,3267.22,3282.11,760.86,6987.0
64483,Injections of anesthetic and/or steroid drug into lower or sacral spine nerve root using imaging guidance,367,157.87,217.81,353.57,1554.0,4419.0,4261.13,1336.19,768.32,780.5,182.16,1736.0
64493,Injection into lower back of nerve block using imaging guidance,365,115.65,162.97,254.66,1554.0,4419.0,4303.35,1391.03,730.95,806.18,133.44,1736.0
64721,Release of the transverse carpal ligament,368,294.16,371.13,571.98,2687.0,9335.0,9040.84,2315.87,1600.57,1879.51,339.42,3351.2
66821,Removal of recurring cataract in lens capsule using laser,367,180.0,291.1,449.32,1554.0,4419.0,4239.0,1262.9,817.12,753.48,254.43,1736.0
66984,Removal of cataract with insertion of lens,368,362.43,608.59,815.64,2687.0,9335.0,8972.57,2078.41,1712.03,1785.38,437.7,2969.0
67028,Injection of a pharmaceutical agent into the eye,367,67.09,104.16,161.02,963.0,2866.0,2798.91,858.84,479.36,561.09,77.53,1201.0
69210,Removal of ear wax from one or both ears,367,31.9,45.18,65.8,963.0,2866.0,2834.1,917.82,428.61,590.08,36.81,1201.0
69436,Insertion of tubes into one or both ears,367,105.09,149.15,217.14,2142.0,5398.0,5292.91,1992.86,1029.66,1288.8,121.65,2323.0
70450,CT scan head or brain without dye,220,76.24,106.27,112.41,166.03,430.8,354.56,59.76,143.23,69.55,87.97,218.85
70486,CT Scan of the face and jaw without dye,220,91.96,129.01,183.28,225.77,553.2,461.24,96.76,187.56,82.91,106.1,233.21
70491,CT scan of neck with dye,220,133.71,185.66,220.64,265.6,718.26,584.55,79.94,238.5,102.8,154.28,281.11
70551,MRI of brain stem without dye,220,147.32,198.1,222.58,436.54,1122.46,975.14,238.44,322.29,184.4,169.98,492.33
70553,MRI scan of brain before and after contrast,220,240.92,321.55,357.21,592.46,1679.14,1438.22,270.91,513.02,307.06,277.98,1048.15
71045,Single view,218,14.46,17.15,19.49,21.23,81.82,67.36,4.08,22.1,10.3,17.05,29.67
71046,"2 views, front and back",218,21.58,24.9,26.34,32.6,104.56,82.98,7.7,31.29,12.78,24.9,38.91
71047,3 views,218,27.21,31.59,33.7,41.7,131.83,104.62,10.11,39.76,16.09,31.4,48.93
71048,4 or more views,218,29.56,34.11,36.14,44.72,143.2,113.64,10.61,42.83,17.48,34.1,52.78
71101,Radiologic examination of one side of the chest/ribs,220,26.85,32.23,36.14,43.21,130.7,103.85,10.98,40.44,15.91,31.13,48.94
71250,CT scan of the thorax without dye,220,104.39,133.92,173.61,212.29,561.68,457.29,78.37,193.71,91.42,120.45,278.09
71260,CT scan of the thorax with dye,220,129.49,168.31,216.85,263.45,695.56,566.07,95.14,238.73,110.84,149.41,325.26
71275,Diagnostic Radiology (Diagnostic Imaging) Procedures of the Chest,220,200.1,283.57,339.17,401.91,1074.85,874.75,118.34,370.01,163.22,230.88,547.31
72040,"Radiologic examination of the neck/spine, 2-3 views",220,24.98,30.85,36.42,39.04,121.63,96.65,8.19,37.93,14.96,28.97,45.85
72050,"Radiologic examination of the neck/spine, 4-5 views",220,33.31,42.32,49.01,52.68,161.4,128.09,10.36,51.21,19.49,38.44,62.03
72070,"Radiologic examination of the middle spine, 2 views",220,20.88,27.5,30.94,36.38,101.16,80.28,8.88,33.61,12.58,24.09,38.14
72072,"Radiologic examination of the middle spine, 3 views",220,25.34,31.01,34.31,40.55,122.76,97.42,9.54,38.38,15.1,29.24,45.85
72100,X-ray of the lower spine 2-3 views,220,25.1,30.4,34.0,39.04,121.63,96.53,8.64,37.91,15.23,28.97,46.24
72110,"X-ray of lower and sacral spine, minimum of 4 views",220,31.9,41.12,46.26,53.44,154.57,122.67,12.32,50.37,18.83,36.81,60.11
72131,CT scan of lower spine without dye,220,102.28,129.99,173.29,211.68,635.16,532.88,81.69,194.14,95.08,118.01,278.09
72141,MRI of the neck or spine without dye,220,143.33,192.54,220.96,390.89,1027.48,884.15,198.35,306.2,171.77,165.38,498.01
72146,MRI of chest and spine without dye,220,143.33,192.21,220.96,393.95,1054.4,911.07,201.74,311.51,178.8,165.38,543.41
72148,MRI scan of lower spinal canal,220,143.57,193.2,221.28,388.75,1041.5,897.93,195.55,309.72,176.63,165.65,538.09
72156,MRI of neck/spine with and without dye,220,242.79,323.19,357.53,591.85,1680.08,1437.29,268.66,514.9,308.78,280.15,1058.44
72157,MRI of chest and spine with and without dye,220,243.26,323.84,357.85,554.47,1597.74,1354.48,230.63,499.91,290.67,280.69,1019.85
72158,MRI of lower back with and without dye,220,242.33,322.53,356.57,582.35,1657.84,1415.51,259.82,510.77,305.43,279.61,1048.51
72170,Radiologic examination of the pelvis,220,18.33,24.51,25.27,31.45,90.92,72.59,6.94,28.58,11.37,21.65,32.36
72192,CT of pelvis without dye,220,95.95,129.72,137.22,204.94,635.16,539.21,75.22,180.13,94.75,110.71,274.89
72193,"CT scan, pelvis, with contrast",220,159.75,202.18,230.85,249.36,858.13,698.38,47.18,252.72,117.01,184.33,313.21
72195,MRI of pelvis without dye,220,175.7,231.5,343.36,433.77,1108.4,932.7,202.27,365.74,178.06,202.73,485.59
72197,MRI of pelvis before and after dye,220,257.8,340.22,470.26,607.17,1688.68,1430.88,266.95,546.03,286.29,297.47,1019.85
73000,Radiologic examination of the collar bone,220,19.1,23.82,26.65,31.45,100.02,80.92,7.63,30.14,12.59,23.69,37.76
73030,Radiologic examination of the shoulder,220,20.65,25.6,28.49,33.73,105.69,85.04,8.13,31.97,12.76,25.17,40.46
73070,"Radiologic examination, elbow; 2 views",220,18.77,23.24,26.34,30.7,90.92,72.15,7.46,28.65,11.46,21.65,33.9
73080,"Radiologic examination, elbow; 3 or more views",220,20.41,27.51,31.25,36.38,98.89,78.48,8.87,32.94,12.43,23.55,38.14
73090,Radiologic examination of the forearm,220,18.84,22.68,25.43,30.32,92.05,73.21,7.64,28.54,11.65,21.92,33.91
73100,3 or more views,220,20.39,26.14,29.41,34.11,104.56,84.17,7.97,31.92,12.94,24.9,39.3
73110,Up to 3 views,220,23.6,29.51,34.3,40.93,123.89,100.29,11.42,37.53,15.25,29.5,47.78
73120,X-ray of the hand with 2 views,220,18.59,23.01,25.73,29.94,96.62,78.03,6.93,29.14,12.24,23.01,36.6
73130,X-ray of the hand with 3 or more views,220,21.42,26.53,29.72,35.62,111.39,89.97,9.09,33.65,13.87,26.42,43.15
73140,Radiologic examination of the finger(s),220,18.22,27.07,30.33,36.0,113.66,95.44,8.93,33.46,14.38,25.62,44.31
73221,MRI of upper extremity without dye,220,151.78,204.98,231.27,409.88,1048.72,896.94,204.9,317.61,174.47,175.13,477.78
73560,Radiologic examination of the knee with 1 or 2 views,220,20.13,25.6,28.8,33.35,106.82,86.69,7.75,32.02,13.13,25.44,39.69
73562,Radiologic examination of the knee with 3 views,220,24.0,30.5,34.31,40.55,125.03,101.03,10.05,37.8,15.27,29.78,47.39
73564,Radiologic examination of the knee with 4 or more views,220,27.87,35.63,40.13,47.0,139.8,111.93,11.37,43.14,17.0,33.29,54.71
73565,Radiologic examination of both knees,220,21.94,29.51,32.78,38.66,123.89,101.95,9.15,36.25,15.23,28.38,46.24
73590,Radiologic examination of the lower leg,220,18.84,23.3,25.43,29.94,97.75,78.91,6.64,29.39,12.36,23.28,36.6
73600,Radiologic examination of the ankle with 2 views,220,18.84,24.09,26.65,31.07,101.16,82.32,6.98,30.11,12.65,24.02,37.38
73610,Radiologic examination of the ankle with 3 views,220,21.68,27.23,30.64,36.38,111.39,89.71,9.15,33.93,13.81,26.53,42.39
73620,"Radiologic examination, foot; 2 views",220,18.3,22.33,25.12,29.56,88.65,70.35,7.23,27.8,11.26,21.11,33.14
73630,Radiologic examination of the foot with 3 or more views,220,21.42,25.87,29.11,34.11,104.56,83.14,8.24,32.17,12.92,24.9,39.69
73650,Radiologic examination of the heel,220,18.53,23.06,26.04,30.7,89.79,71.26,7.64,28.26,11.32,21.38,33.14
73660,Radiologic examination of the toe(s),220,18.22,22.78,27.08,32.98,89.79,71.57,10.2,28.96,11.36,21.38,33.91
73700,CT scan of leg without dye,220,102.28,130.32,173.61,209.23,549.4,447.12,78.91,188.36,85.74,118.01,238.72
73718,MRI of leg without dye,220,170.07,225.6,333.69,424.58,1421.22,1251.15,198.98,360.68,192.39,196.24,477.78
73721,MRI of lower extremity joint (knee/ankle) without dye,220,151.07,204.65,231.59,419.07,1066.46,915.39,214.42,321.22,181.22,174.32,477.78
73722,MRI of lower extremity joint (knee/ankle) with dye,220,241.85,316.96,359.14,454.61,1387.37,1145.52,137.65,422.56,203.75,279.06,573.91
73723,MRI of lower extremity joint (knee/ankle) with and without dye,220,297.92,389.66,440.31,570.71,1709.01,1411.09,181.05,551.53,287.45,343.76,1019.85
74022,Serial radiologic examination of the abdomen,220,31.9,39.21,44.11,53.06,154.57,122.67,13.85,48.36,18.61,36.81,57.79
74150,CT of abdomen without dye,220,98.53,132.76,140.44,209.23,635.16,536.63,76.47,183.11,94.93,113.69,269.93
74160,CT of abdomen with dye,220,163.27,206.14,235.1,284.9,877.02,713.75,78.76,266.63,122.63,188.39,318.53
74170,CT of abdomen with and without dye,220,184.15,238.11,264.25,377.41,989.17,805.02,139.3,320.27,147.72,212.48,396.62
74176,CT of abdomen and pelvis without dye,218,132.07,180.84,188.46,203.72,744.28,612.21,22.88,206.9,97.99,152.39,225.95
74177,CT scan of abdomen and pelvis with contrast,218,216.05,278.31,305.82,321.97,1160.57,944.52,43.66,325.11,147.07,249.29,355.06
74178,"Computed tomography, abdomen and pelvis; without contrast material in one or both body regions, followed by contrast material(s) and further sections in one or both body regions",218,242.79,323.98,343.15,408.96,1304.22,1061.43,84.98,385.15,167.79,280.15,449.41
74181,MRI of abdomen without dye,220,148.73,197.78,306.0,386.29,1019.85,871.12,188.51,327.73,166.64,171.61,485.94
74183,MRI of abdomen without and with dye,220,258.28,341.53,471.87,608.7,1690.1,1431.82,267.17,547.09,286.33,298.01,1019.85
