procedure_name,tin_type,tin_value,billing_class,negotiated_type,service_code,negotiated_rate,npi,reporting_entity_name,reporting_entity_type,plan_name,plan_id_type,plan_id,plan_market_type,last_updated_on,version,url,billing_code,NPI,Entity Type Code,Provider Organization Name (Legal Business Name),Provider Other Organization Name,Provider Other Organization Name Type Code,Provider First Line Business Mailing Address,Provider Second Line Business Mailing Address,Provider Business Mailing Address City Name,Provider Business Mailing Address State Name,Provider Business Mailing Address Postal Code,Provider Business Mailing Address Country Code (If outside U.S.),Provider Business Mailing Address Telephone Number,Provider Business Mailing Address Fax Number,Provider First Line Business Practice Location Address,Provider Second Line Business Practice Location Address,Provider Business Practice Location Address City Name,Provider Business Practice Location Address State Name,Provider Business Practice Location Address Postal Code,Provider Business Practice Location Address Telephone Number,Provider Business Practice Location Address Fax Number,Provider Enumeration Date,Last Update Date,Authorized Official Last Name,Authorized Official First Name,Authorized Official Middle Name,Authorized Official Title or Position,Authorized Official Telephone Number,Provider License Number_1,Provider License Number State Code_1,Healthcare Provider Primary Taxonomy Switch_1,Is Sole Proprietor,Is Organization Subpart,Parent Organization LBN,Parent Organization TIN,Authorized Official Name Prefix Text,Authorized Official Name Suffix Text,Authorized Official Credential Text,Healthcare Provider Taxonomy Group_1,Healthcare Provider Taxonomy Group_2,Certification Date,Combined_taxonomy_codes
Blood test to determine existence of certain bacterium that causes syphilis,ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",7.41,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,86780,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"2 views, front and back",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",25.45,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,71046,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Radiologic examination of the middle spine, 3 views",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",29.85,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,72072,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
Test to determine heart abnormalities,ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",71.94,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,93015,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Emergency department visit, problem of high severity",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",95.87,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99284,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Emergency department visit, problem of high severity",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",136.06,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99284,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Emergency department visit, problem of high severity",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",154.2,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99284,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Emergency department visit, problem of high severity",ein,201610428,professional,fee schedule,"[""01"", ""02"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""19"", ""20"", ""21"", ""22"", ""23"", ""24"", ""25"", ""26"", ""27"", ""31"", ""32"", ""33"", ""34"", ""41"", ""42"", ""49"", ""50"", ""51"", ""52"", ""53"", ""54"", ""55"", ""56"", ""57"", ""58"", ""60"", ""61"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",181.42,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99284,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Qualified non physician health care professional online digital assessment and management, for an established patient, for up to 7 days, cumulative time during the 7 days; 21 or more minutes",ein,201610428,professional,fee schedule,"[""01"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""20"", ""25"", ""27"", ""32"", ""33"", ""49"", ""50"", ""54"", ""55"", ""57"", ""58"", ""60"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",31.0,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,98972,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
"Physician telephone patient service, 11-20 minutes of medical discussion",ein,201610428,professional,fee schedule,"[""01"", ""03"", ""04"", ""05"", ""06"", ""07"", ""08"", ""10"", ""11"", ""12"", ""13"", ""14"", ""15"", ""17"", ""18"", ""20"", ""25"", ""27"", ""32"", ""33"", ""49"", ""50"", ""54"", ""55"", ""57"", ""58"", ""60"", ""62"", ""65"", ""71"", ""72"", ""81"", ""99""]",74.27,1841265295,Aetna Life Insurance Company,Health Insurance Issuer,,,,,2024-10-05,1.3.1,https://mrf.healthsparq.com/aetnacvs-egress.nophi.kyruushsq.com/prd/mrf/AETNACVS_I/ASH/2024-10-05/inNetworkRates/2024-10-05_pl-4b6-hr23_Aetna-Life-Insurance-Company.json.gz,99442,1841265295,2,HUTTO THERAPY CENTER,,,PO BOX 970,,HUTTO,TX,78634,US,5128462266.0,5128462245.0,101 PARK ST,,HUTTO,TX,78634,5128462266.0,5128462245.0,2/21/2006,8/22/2020,THOMPSON,MICHAEL,ANTHONY,CO OWNER PHYSICAL THERAPIST,5128462266,,,Y,,N,,,MR.,,MSPT,,,,261QM1300X
